id,Action
1,0.8617409338503379
2,0.9808191747423809
3,0.9596170313130791
4,0.9772493720690819
5,0.9957215677532405
6,0.9703530353960119
7,0.979705897545396
8,0.9975294790896944
9,0.9400392160148774
10,0.9657029050363128
11,0.8255718694247917
12,0.9371070472692793
13,0.9242658598380774
14,0.907991193757203
15,0.9654850351744217
16,0.9903570921608736
17,0.9113231070593093
18,0.9049545252179636
19,0.9745611913833805
20,0.927698587375461
21,0.9972277950256111
22,0.9866831774381358
23,0.8732037668201499
24,0.9578061061443344
25,0.9495973871200298
26,0.8897167707520656
27,0.9826587416239834
28,0.8842174033102305
29,0.9721285322086194
30,0.9660040718788799
31,0.9624522504890425
32,0.9193540374971196
33,0.9619512193607481
34,0.979705897545396
35,0.9624522504890425
36,0.950632115169094
37,0.9764742350388153
38,0.9916263638333875
39,0.899265075114313
40,0.9735415487811113
41,0.9108288102685648
42,0.9098623821430701
43,0.9721583923286683
44,0.9864837434558659
45,0.9335644957900527
46,0.9125058957860234
47,0.9794301254799928
48,0.9538172026446362
49,0.9990173131563804
50,0.9665009557192435
51,0.9966795930245631
52,0.9646519099338926
53,0.987822392588277
54,0.9705035356549304
55,0.9198617596259705
56,0.8617409338503379
57,0.984025296424276
58,0.9878563938303561
59,0.965426869449852
60,0.9098623821430701
61,0.9422998974962036
62,0.9793463398807474
63,0.9636995451916933
64,0.9692535528645432
65,0.9950472773382654
66,0.9860382246837665
67,0.9041216224904354
68,0.9687865908027868
69,0.9274219036764577
70,0.7782745962080948
71,0.9233820202482248
72,0.9768609280339502
73,0.9495973871200298
74,0.9725861043321842
75,0.9794301254799928
76,0.9732913219553577
77,0.9677299835556181
78,0.940399460777613
79,0.9428229685113579
80,0.9908352059611746
81,0.9619762244056939
82,0.9669057330195714
83,0.9613820997061598
84,0.974054113800689
85,0.9068594106860607
86,0.9176618826842271
87,0.8882658621099135
88,0.9669576591522702
89,0.9527695457677765
90,0.9515890389370206
91,0.9193540374971196
92,0.9696302138335577
93,0.986914330688082
94,0.7968201527153682
95,0.9552526804315876
96,0.9249739988313995
97,0.8255718694247917
98,0.99600152942016
99,0.9860382246837665
100,0.9309758920801979
101,0.8992613750598104
102,0.947777948753783
103,0.9481168429066182
104,0.9400392160148774
105,0.8442626494609161
106,0.9921758469034628
107,0.9877313376183392
108,0.9022702300210345
109,0.9737767711035119
110,0.9616687163876652
111,0.8255718694247917
112,0.9604328017720725
113,0.9076572634600654
114,0.93496969238725
115,0.9649782531328416
116,0.9624522504890425
117,0.9624522504890425
118,0.9190228959061326
119,0.9963868325894886
120,0.9367732712216313
121,0.9515890389370206
122,0.9434409653771204
123,0.8731688913336791
124,0.9902877879079177
125,0.9428229685113579
126,0.9354507394788959
127,0.8698541665634452
128,0.8388402952873327
129,0.9049514348040424
130,0.9686391108590116
131,0.9856058109222906
132,0.9739905258885635
133,0.9049545252179636
134,0.9049514348040424
135,0.9687865908027868
136,0.9274219036764577
137,0.9725861043321842
138,0.9434409653771204
139,0.9249739988313995
140,0.9596170313130791
141,0.9852152513211213
142,0.9511465445091756
143,0.9702175130705292
144,0.9705035356549304
